=== run 2026-08-13T19:10:25  device=cuda  arm=ar  amp=bf16  compile=False ===
model: params=26.5M  dropout=0.1
data:  train_games=979951  val_games=20049  tokens/epoch=71.1M
sched: epochs=8.00  steps=20408  steps/epoch=2551  warmup=1020  eval_every=2000  tokens_seen=569M
step  17800/20408  loss 1.7537  lr 8.38e-05  6866.7s
step  17900/20408  loss 1.7258  lr 8.20e-05  6898.8s
  [eval] step 18000  val_loss 1.7371  train_loss 1.7106  *best*  [saved]
step  18000/20408  loss 1.7233  lr 8.03e-05  6940.4s
step  18100/20408  loss 1.7102  lr 7.87e-05  6972.1s
step  18200/20408  loss 1.7221  lr 7.71e-05  7003.8s
step  18300/20408  loss 1.7289  lr 7.56e-05  7035.6s
step  18400/20408  loss 1.6966  lr 7.42e-05  7067.4s
step  18500/20408  loss 1.7300  lr 7.28e-05  7099.2s
step  18600/20408  loss 1.7082  lr 7.15e-05  7131.0s
step  18700/20408  loss 1.7243  lr 7.03e-05  7162.7s
step  18800/20408  loss 1.7140  lr 6.91e-05  7194.5s
step  18900/20408  loss 1.7149  lr 6.80e-05  7226.3s
step  19000/20408  loss 1.7299  lr 6.70e-05  7258.1s
step  19100/20408  loss 1.7324  lr 6.60e-05  7289.8s
step  19200/20408  loss 1.7243  lr 6.52e-05  7321.6s
step  19300/20408  loss 1.7089  lr 6.43e-05  7353.4s
step  19400/20408  loss 1.7184  lr 6.36e-05  7385.1s
step  19500/20408  loss 1.6997  lr 6.29e-05  7416.9s
step  19600/20408  loss 1.7141  lr 6.23e-05  7448.7s
step  19700/20408  loss 1.7140  lr 6.18e-05  7480.4s
step  19800/20408  loss 1.6991  lr 6.13e-05  7512.2s
step  19900/20408  loss 1.7046  lr 6.09e-05  7543.9s
  [eval] step 20000  val_loss 1.7278  train_loss 1.7111  *best*  [saved]
step  20000/20408  loss 1.7197  lr 6.06e-05  7580.4s
step  20100/20408  loss 1.7153  lr 6.03e-05  7612.1s
step  20200/20408  loss 1.7146  lr 6.02e-05  7643.9s
step  20300/20408  loss 1.7160  lr 6.00e-05  7675.6s
step  20400/20408  loss 1.7228  lr 6.00e-05  7707.5s
step  20407/20408  loss 1.7268  lr 6.00e-05  7709.7s
  [eval] step 20408  val_loss 1.7275  train_loss 1.7268  *best*  [saved]
done. best val_loss 1.7275  ->  checkpoints/ar/model_best.pt  (latest checkpoints/ar/model.pt)
